WBStrain00000001	N2	Caenorhabditis elegans	C. elegans var Bristol. Generation time is about 3 days. Brood size is about 350. Also CGC reference 257. Isolated from mushroom compost near Bristol, England by L.N. Staniland. Cultured by W.L. Nicholas, identified to genus by Gunther Osche and species by Victor Nigon; subsequently cultured by C.E. Dougherty. Given to Sydney Brenner ca. 1966. Subcultured by Don Riddle in 1973. Caenorhabditis elegans wild isolate. DR subclone of CB original (Tc1 pattern I). [NOTE: This stock might carry a ~1.8 kb deletion in alh-2 in the background.]	C. elegans wild isolate.		
WBStrain00000002	VC2010	Caenorhabditis elegans	This strain was provided by the C. elegans Reverse Genetics Core Facility at the University of British Columbia, which is part of the International C. elegans Gene Knockout Consortium, which should be acknowledged in any publications resulting from its use.	C. elegans wild isolate.		
WBStrain00000003	N2 (ancestral)	Caenorhabditis elegans	WT C. elegans. From Cambridge collection-originally frozen around 1968: In 1980, in order to establish an ancestral stock, Jonathan Hodgkin thawed one of the earliest frozen tubes of N2, dating from 1968. From this plate J.H. grew up a population en masse (without subculturing) on NGM plates (about 2 generations). Multiple samples of this were frozen in order to provide a reference N2 stock. This set of stock samples was replenished by regrowth in 1985 and 1991, using the same procedure, and a freshly thawed sample was sent to the CGC in 1993. Thus, samples from this frozen stock, called N2 (ancestral), should be only about 6 generations away from the stock used by Sydney Brenner as his standard WT N2. [Isolated from mushroom compost near Bristol, England by L.N. Staniland. Cultured by W.L. Nicholas, identified to genus by Gunther Osche and species by Victor Nigon; subsequently cultured by C.E. Dougherty. Given to Sydner Brenner ca. 1966.] Caenorhabditis elegans wild isolate. Note: N2 (ancestral) has reduced lifespan and fertility relative to the standard CGC N2 strains. See Worm Breeder's Gazette 16(5): 24 (February 1,2001).	C. elegans wild type (ancestral).		
WBStrain00000004	N2 Male	Caenorhabditis elegans	C. elegans var Bristol. Self-fertilizing hermaphrodite. Generation time is about 3.5 days at 20C. Male stock maintained by mating. Also CGC reference 257. Isolated from mushroom compost near Bristol, England by L.N. Staniland. Cultured by W.L. Nicholas, identified to genus by Gunther Osche and species by Victor Nigon; subsequently cultured by C.E. Dougherty. Given to Sydney Brenner ca. 1966. Subcultured by Don Riddle in 1973. Caenorhabditis elegans wild isolate. DR subclone of CB original (Tc1 pattern I).	C. elegans wild isolate.		
WBStrain00000032	AB1	Caenorhabditis elegans	Reference WBG 10(2) 140-141 and WBG 8(2) 52. Caenorhabditis elegans wild isolate. (Tc1 pattern VII).	C. elegans wild isolate.		
WBStrain00000033	AB2	Caenorhabditis elegans	Reference WBG 10(2) 140-141 and WBG 8(2) 52. Caenorhabditis elegans wild isolate. (Tc1 pattern VIII).	C. elegans wild isolate.		
WBStrain00000034	AB3	Caenorhabditis elegans	Reference WBG 10(2) 140-141 and WBG 8(2) 52. Caenorhabditis elegans wild isolate. (Tc1 pattern VIII).	C. elegans wild isolate.		
WBStrain00000035	AB4	Caenorhabditis elegans	Reference WBG 10(2) 140-141 and WBG 8(2) 52. Caenorhabditis elegans wild isolate. (Tc1 pattern VIII).	C. elegans wild isolate.		
WBStrain00003927	BRC20067	Caenorhabditis elegans	Reference_strain: True	C. elegans wild isolate		
WBStrain00004438	CB3191	Caenorhabditis elegans	Wild type, apparently identical to N2. Isolated by Carl Johnson in June 1973 in a garden in Altadena, CA. Sample obtained from laboratory of R.E. Russell in October 1980. Sent to CGC in Jan. 1997. Reference WBG 10(2) 140-141. Caenorhabditis elegans wild isolate.	C. elegans wild isolate.		
WBStrain00004439	CB3192	Caenorhabditis elegans	WT. Resembles N2. Wild isolate from Altadena, CA. Caenorhabditis elegans wild isolate. Original name = GA2.	C. elegans wild isolate.		
WBStrain00004440	CB3193	Caenorhabditis elegans	WT. Resembles N2. Natural isolate from Altadena, CA. Caenorhabditis elegans wild isolate. Original name = GA3.	C. elegans wild isolate.		
WBStrain00004441	CB3194	Caenorhabditis elegans	WT. Resembles N2. Natural isolate from Altadena, CA. Caenorhabditis elegans wild isolate. Original name = GA4.	C. elegans wild isolate.		
WBStrain00004442	CB3195	Caenorhabditis elegans	WT. Resembles N2. Natural isolate from Altadena, CA. Caenorhabditis elegans wild isolate. Original name = GA5.	C. elegans wild isolate.		
WBStrain00004443	CB3196	Caenorhabditis elegans	WT. Resembles CB4854 (GA9). Natural isolate from Altadena, CA. Caenorhabditis elegans wild isolate. Original name = GA13.	C. elegans wild isolate.		
WBStrain00004444	CB3197	Caenorhabditis elegans	WT. Resembles CB4854 (GA9). Natural isolate from Altadena, CA. Caenorhabditis elegans wild isolate. Original name = GA23.	C. elegans wild isolate.		
WBStrain00004445	CB3198	Caenorhabditis elegans	WT. Resembles CB4853 (GA12). Natural isolate from Pasadena, CA. Caenorhabditis elegans wild isolate. Original name = PA2.	C. elegans wild isolate.		
WBStrain00004446	CB3199	Caenorhabditis elegans	WT. Resembles CB4857 (Cl2a). Natural isolate from Pasadena, CA. Caenorhabditis elegans wild isolate. Original name = PA3.	C. elegans wild isolate.		
WBStrain00004565	CB4507	Caenorhabditis elegans	Wild isolate from Palm Canyon, CA. Segregated to remove gro-1(e2400) [CB4512]. Caenorhabditis elegans wild isolate CB gro-1(+) subclone of PaC1 (Tc1 pattern IV).	C. briggsae wild isolate.		
WBStrain00004570	CB4555	Caenorhabditis elegans	Wild isolate from Pasadena, Ca. [Flower bed on CIT campus in summer of 1971 (or 1973??). Wild type phenotype. High copy Tc1. Reference WBG 10(2) 140-141. Caenorhabditis elegans wild isolate. CB subclone of PA1 (Tc1 pattern HCG?).	C. elegans wild isolate.		
WBStrain00004597	CB4851	Caenorhabditis elegans	Wild type-slightly Unc. Tc1 pattern high copy; different from RW7000. Bergerac isolate obtained by S. Brenner from Brun group. Caenorhabditis elegans wild isolate. CB subclone of Bergerac N62 (Tc1 pattern HCB). To obtain ECA243, a sequenced isolate of this wild strain, please visit the C. elegans Natural Diversity Resource at www.elegansvariation.org.	C. elegans wild isolate.		
WBStrain00004598	CB4852	Caenorhabditis elegans	Wild type. Low Tc1 copy number; pattern X. [Obtained from Rothamsted by S. Brenner as 'Panagrellus redivivus'. Cross fertile with C. elegans N2.] Caenorhabditis elegans wild isolate. CB subclone of N3 (Tc1 pattern X).	C. elegans wild isolate.		
WBStrain00004599	CB4853	Caenorhabditis elegans	Made_by: Johnson C	C. elegans wild isolate.		
WBStrain00004600	CB4854	Caenorhabditis elegans	Isolated from Carl Johnson's organic garden in Altadena, CA in 1974. Wild type. Low copy Tc1, pattern V. Caenorhabditis elegans wild isolate. CB subclone of GA-9 (Tc1 pattern V).	C. elegans wild isolate.		
WBStrain00004601	CB4855	Caenorhabditis elegans	Made_by: Doniach/Greenstein	C. elegans wild isolate.		
WBStrain00004602	CB4856	Caenorhabditis elegans	Isolated from a pineapple field in Hawaii in 1972 by L. Hollen. Wild type. Low copy Tc1; pattern IX. C. elegans wild isolate. CB subclone of HA-8 (Tc1 pattern IX). See also WBPaper00005369. [NOTE (4-2014): Users reported abnormalities in CB4856 in late 2013 and early 2014. The current working stock at the CGC was thawed in 2-2014 from stock frozen in 1995.]	C. elegans wild isolate.		
WBStrain00004603	CB4857	Caenorhabditis elegans	Isolated from decaying mushroom during rain in Claremont, CA in November 1972. Wild type. Low copy Tc1, pattern II. Reference WBG 10(2) 140-141 and 11(5) 60. Caenorhabditis elegans wild isolate. CB subclone of Cl2a (Tc1 pattern II). To obtain ECA249, a sequenced isolate of this wild strain, please visit the C. elegans Natural Diversity Resource at www.elegansvariation.org.	C. elegans wild isolate.		
WBStrain00004604	CB4858	Caenorhabditis elegans	Made_by: Hedgecock E	C. elegans wild isolate.		
WBStrain00004605	CB4869	Caenorhabditis elegans	Hermaphrodites are WT at all stages. Adult males abnormal with swollen distorted bursal anatomy. Male mating efficiency is zero. Natural mutation present in original KR314 isolate.	C. elegans wild isolate.		
