HOM ID	"HOM name"	entity	"entity name"	qualifier	taxon ID	"taxon name"	CIO ID	"CIO name"	ECO ID	"ECO name"	reference	"reference title"	"supporting text"	assigned by	curator	date
HOM:0000007	"historical homology"	CL:0000000	"cell"		2759	"Eukaryota"	CIO:0000004	"medium confidence from single evidence"	ECO:0000033	"traceable author statement"	DOI:10.1073/pnas.032658599	"Hartman H, Fedorov A, The origin of the eukaryotic cell: A genomic investigation. PNAS (2002)"	"We have collected a set of 347 proteins that are found in eukaryotic cells but have no significant homology to proteins in Archaea and Bacteria. We call these proteins eukaryotic signature proteins (ESPs). The dominant hypothesis for the formation of the eukaryotic cell is that it is a fusion of an archaeon with a bacterium. If this hypothesis is accepted then the three cellular domains, Eukarya, Archaea, and Bacteria, would collapse into two cellular domains. We have used the existence of this set of ESPs to test this hypothesis. The evidence of the ESPs implicates a third cell (chronocyte) in the formation of the eukaryotic cell. [...] The eukaryotic cell is not a simple fusion of an archaeon and bacterium. This statement is borne out by the existence of 347 ESPs. [...] We agree with Horiike et al. that the nucleus is an endosymbiont with inputs from Bacteria and Archaea. We disagree that the host cell came from the Bacteria. The host cell or chronocyte was not a prokaryotic cell but one that had a cytoskeleton composed of actin and tubulin and an extensive membrane system."	bgee	ANN	2013-06-21
HOM:0000007	"historical homology"	CL:0000015	"male germ cell"		33208	"Metazoa"	CIO:0000004	"medium confidence from single evidence"	ECO:0000205	"curator inference"	DOI:10.1002/bies.950161213	"Denis H, A parallel between development and evolution: Germ cell recruitment by the gonads. BioEssays (1994)"	"The basic assumption is that primitive Metazoa already had germ cells, but no gonads to harbour them."	bgee	ANN	2013-08-29
HOM:0000007	"historical homology"	CL:0000015	"male germ cell"		33208	"Metazoa"	CIO:0000004	"medium confidence from single evidence"	ECO:0000205	"curator inference"	ISBN:978-0198566694	"Schmidt-Rhaesa A, The evolution of organ systems (2007) p.249"	"Gametes must have been present already in the metazoan ancestor, because they are present in every metazoan taxon."	bgee	ANN	2013-08-29
HOM:0000007	"historical homology"	CL:0000021	"female germ cell"		33208	"Metazoa"	CIO:0000004	"medium confidence from single evidence"	ECO:0000205	"curator inference"	DOI:10.1002/bies.950161213	"Denis H, A parallel between development and evolution: Germ cell recruitment by the gonads. BioEssays (1994)"	"The basic assumption is that primitive Metazoa already had germ cells, but no gonads to harbour them."	bgee	ANN	2013-08-29
HOM:0000007	"historical homology"	CL:0000021	"female germ cell"		33208	"Metazoa"	CIO:0000004	"medium confidence from single evidence"	ECO:0000205	"curator inference"	ISBN:978-0198566694	"Schmidt-Rhaesa A, The evolution of organ systems (2007) p.249"	"Gametes must have been present already in the metazoan ancestor, because they are present in every metazoan taxon."	bgee	ANN	2013-08-29
HOM:0000007	"historical homology"	CL:0000037	"hematopoietic stem cell"		7776	"Gnathostomata"	CIO:0000003	"high confidence from single evidence"	ECO:0000067	"developmental similarity evidence"	DOI:10.1111/j.1600-065X.1998.tb01264.x	"Hansen JD, Zapata AG, Lymphocyte development in fish and amphibians.  Immunological Reviews (1998)"	"In all gnathostomes there appear to be two main embryonic locations derived from the early mesoderm, both intra- and extraembryonic, which contribute to primitive and definitive hematopoiesis based upon their differential expression of SCL, Gata-1, Gata-2 and myeloblastosis oncogene (c-myb)."	bgee	ANN	2015-03-30
HOM:0000007	"historical homology"	CL:0000037	"hematopoietic stem cell"		7776	"Gnathostomata"	CIO:0000003	"high confidence from single evidence"	ECO:0000075	"gene expression similarity evidence"	DOI:10.1111/j.1600-065X.1998.tb01264.x	"Hansen JD, Zapata AG, Lymphocyte development in fish and amphibians.  Immunological Reviews (1998)"	"In all gnathostomes there appear to be two main embryonic locations derived from the early mesoderm, both intra- and extraembryonic, which contribute to primitive and definitive hematopoiesis based upon their differential expression of SCL, Gata-1, Gata-2 and myeloblastosis oncogene (c-myb)."	bgee	ANN	2015-03-30
HOM:0000007	"historical homology"	CL:0000037	"hematopoietic stem cell"		33208	"Metazoa"	CIO:0000004	"medium confidence from single evidence"	ECO:0000067	"developmental similarity evidence"	DOI:10.1146/annurev.cellbio.22.010605.093317	"Hartenstein V, Blood cells and blood cell development in the animal kingdom. Annual review of cell and developmental biology (2006)"	"Recent findings strongly suggest that the molecular pathways involved in the development and function of blood cells are highly conserved among vertebrates and various invertebrate phyla. (...)a brief survey of the different types of blood cell lineages among metazoa.  There is now good reason to believe that, in vertebrates and invertebrates alike, blood cell lineages diverge from a common type of progenitor cell, the hemocytoblast."	bgee	ANN	2015-03-30
HOM:0000007	"historical homology"	CL:0000037	"hematopoietic stem cell"		33208	"Metazoa"	CIO:0000004	"medium confidence from single evidence"	ECO:0000075	"gene expression similarity evidence"	DOI:10.1146/annurev.cellbio.22.010605.093317	"Hartenstein V, Blood cells and blood cell development in the animal kingdom. Annual review of cell and developmental biology (2006)"	"Recent findings strongly suggest that the molecular pathways involved in the development and function of blood cells are highly conserved among vertebrates and various invertebrate phyla. (...)a brief survey of the different types of blood cell lineages among metazoa.  There is now good reason to believe that, in vertebrates and invertebrates alike, blood cell lineages diverge from a common type of progenitor cell, the hemocytoblast."	bgee	ANN	2015-03-30
HOM:0000007	"historical homology"	CL:0000056	"myoblast"		33208	"Metazoa"	CIO:0000004	"medium confidence from single evidence"	ECO:0000205	"curator inference"	ISBN:978-0198566694	"Schmidt-Rhaesa A, The evolution of organ systems (2007) p.75"	"It seems clear that the metazoan ancestor inherited from its unicellular descendants an actin cytoskeleton and motor-proteins of the myosin superfamily. Within metazoans, these two molecules were arranged into effective contractile units, the muscles. The basic trends for muscle evolution are already expressed in the diploblastic taxa."	bgee	ANN	2013-09-23
