Gene stable ID	Transcript stable ID	AFFY HG U95B probe
ENSG00000280538	ENST00000630794	49072_at
ENSG00000282650	ENST00000631788	42241_at
ENSG00000282469	ENST00000633220	42241_at
ENSG00000282469	ENST00000633134	42241_at
ENSG00000278091	ENST00000615882	44484_at
ENSG00000278091	ENST00000623537	44484_at
ENSG00000262512	ENST00000575341	42033_at
ENSG00000280830	ENST00000627048	57203_at
ENSG00000263163	ENST00000575439	56906_at
ENSG00000263163	ENST00000623839	56906_at
ENSG00000263163	ENST00000574889	56906_at
ENSG00000263163	ENST00000575951	56906_at
ENSG00000263163	ENST00000573307	56906_at
ENSG00000263163	ENST00000573411	56906_at
ENSG00000263163	ENST00000575532	56906_at
ENSG00000263163	ENST00000576109	56906_at
ENSG00000263163	ENST00000573508	56906_at
ENSG00000263163	ENST00000574381	56906_at
ENSG00000261992	ENST00000576342	46443_at
ENSG00000277101	ENST00000630534	57673_at
ENSG00000277101	ENST00000630534	58281_r_at
ENSG00000277101	ENST00000629129	57673_at
ENSG00000277101	ENST00000630729	57673_at
ENSG00000277101	ENST00000630729	58281_r_at
ENSG00000277101	ENST00000614308	58281_r_at
ENSG00000277101	ENST00000618535	58281_r_at
ENSG00000281763	ENST00000627269	46701_at
ENSG00000281763	ENST00000630672	46701_at
ENSG00000281763	ENST00000626678	46701_at
ENSG00000281763	ENST00000630381	46701_at
ENSG00000281763	ENST00000628280	46701_at
ENSG00000275035	ENST00000632401	45726_at
ENSG00000275035	ENST00000631749	45726_at
ENSG00000275035	ENST00000614047	45726_at
ENSG00000275035	ENST00000633908	45726_at
ENSG00000275035	ENST00000633097	45726_at
ENSG00000275035	ENST00000633868	45726_at
ENSG00000262896	ENST00000570861	42033_at
ENSG00000282220	ENST00000632199	42604_at
ENSG00000282220	ENST00000631922	42604_at
ENSG00000282330	ENST00000633342	46651_at
ENSG00000278666	ENST00000627950	57089_at
ENSG00000278666	ENST00000613037	57089_at
ENSG00000278666	ENST00000630390	57089_at
ENSG00000278666	ENST00000629264	57089_at
ENSG00000278666	ENST00000629579	57089_at
ENSG00000275495	ENST00000630275	57089_at
ENSG00000275495	ENST00000622006	57089_at
ENSG00000275495	ENST00000631240	57089_at
ENSG00000275495	ENST00000630210	57089_at
ENSG00000275495	ENST00000629731	57089_at
ENSG00000275326	ENST00000620516	56167_at
ENSG00000275326	ENST00000611498	56167_at
ENSG00000275326	ENST00000614842	56167_at
ENSG00000275326	ENST00000610378	56167_at
ENSG00000275326	ENST00000610364	56167_at
ENSG00000275326	ENST00000618893	56167_at
ENSG00000275326	ENST00000614172	56167_at
ENSG00000279215	ENST00000624006	53285_s_at
ENSG00000281919	ENST00000631273	44501_at
